observer,data_from,trial,difficulty,targ,rt,accuracy,response
obs1,proficio,tex,mid,absent,5.030180002,1,0
obs1,proficio,tex,easy,absent,3.428540001,1,0
obs1,proficio,tex,easy,absent,3.20606,1,0
obs1,proficio,tex,mid,absent,3.045980001,1,0
obs1,proficio,tex,hard,present,4.421769999,0,0
obs1,proficio,tex,hard,present,1.080495,1,1
obs1,proficio,tex,easy,absent,7.222774999,1,0
obs1,proficio,tex,easy,absent,4.968994999,1,0
obs1,proficio,tex,hard,absent,7.414954999,1,0
obs1,proficio,tex,easy,absent,6.952855,1,0
obs1,proficio,tex,hard,absent,8.433629999,1,0
obs1,proficio,tex,easy,present,1.206559999,1,1
obs1,proficio,tex,easy,absent,10.20955,0,1
obs1,proficio,tex,hard,present,9.115405001,0,0
obs1,proficio,tex,mid,present,1.089880001,1,1
obs1,proficio,tex,hard,absent,8.50539,1,0
obs1,proficio,tex,mid,absent,9.297940001,1,0
obs1,proficio,tex,hard,absent,8.988869999,1,0
obs1,proficio,tex,easy,present,0.815715,1,1
obs1,proficio,tex,mid,present,6.189900002,0,0
obs1,proficio,tex,easy,absent,11.525305,1,0
obs1,proficio,tex,easy,absent,9.159845,1,0
obs1,proficio,tex,hard,absent,7.432639999,1,0
obs1,proficio,tex,hard,present,5.993929999,0,0
obs1,proficio,tex,easy,present,3.540895,1,1
obs1,proficio,tex,mid,present,1.18784,1,1
obs1,proficio,tex,hard,present,0.842970001,1,1
obs1,proficio,tex,easy,absent,8.272360001,1,0
obs1,proficio,tex,mid,absent,5.902895,1,0
obs1,proficio,tex,hard,present,5.212405,0,0
obs1,proficio,tex,mid,present,1.075645,1,1
obs1,proficio,tex,mid,present,0.615005,1,1
obs1,proficio,tex,hard,present,5.537870001,1,1
obs1,proficio,tex,mid,present,1.371335,1,1
obs1,proficio,tex,easy,absent,7.606620001,1,0
obs1,proficio,tex,hard,absent,6.688920001,1,0
obs1,proficio,tex,easy,present,0.822555,1,1
obs1,proficio,tex,easy,present,0.71036,1,1
obs1,proficio,tex,hard,absent,6.18259,1,0
obs1,proficio,tex,mid,present,0.778884999,1,1
obs1,proficio,tex,hard,absent,8.505265001,1,0
obs1,proficio,tex,easy,absent,6.458079999,1,0
obs1,proficio,tex,hard,present,7.309869999,0,0
obs1,proficio,tex,hard,present,1.416855,0,0
obs1,proficio,tex,easy,present,1.02493,1,1
obs1,proficio,tex,mid,present,0.702500001,1,1
obs1,proficio,tex,easy,present,0.50629,1,1
obs1,proficio,tex,mid,present,1.095789999,1,1
obs1,proficio,tex,easy,absent,6.63542,1,0
obs1,proficio,tex,mid,present,3.06153,1,1
obs1,proficio,tex,mid,present,1.183365,1,1
obs1,proficio,tex,easy,absent,4.9110500010000004,1,0
obs1,proficio,tex,easy,absent,5.037224999,1,0
obs1,proficio,tex,hard,absent,2.97274,1,0
obs1,proficio,tex,hard,absent,11.239295,0,1
obs1,proficio,tex,easy,absent,3.409560001,0,1
obs1,proficio,tex,mid,absent,8.371815,1,0
obs1,proficio,tex,mid,present,2.26599,1,1
obs1,proficio,tex,mid,present,5.74759,0,0
obs1,proficio,tex,easy,absent,16.31545,1,0
obs1,proficio,tex,easy,present,0.939510001,1,1
obs1,proficio,tex,easy,present,0.62476,1,1
obs1,proficio,tex,mid,absent,7.844319999,1,0
obs1,proficio,tex,hard,absent,7.47851,1,0
obs1,proficio,tex,hard,present,4.02358,1,1
obs1,proficio,tex,easy,present,1.037560001,1,1
obs1,proficio,tex,mid,present,1.16793,1,1
obs1,proficio,tex,mid,present,1.444755001,1,1
obs1,proficio,tex,mid,absent,0.702570001,0,1
obs1,proficio,tex,mid,present,2.355460001,1,1
obs1,proficio,tex,hard,absent,10.08344,1,0
obs1,proficio,tex,hard,present,5.738544999,0,0
obs1,proficio,tex,hard,present,3.776105002,1,1
obs1,proficio,tex,mid,absent,14.81933,1,0
obs1,proficio,tex,hard,present,7.989470001,0,0
obs1,proficio,tex,hard,absent,14.283835,0,1
obs1,proficio,tex,mid,present,0.973955,1,1
obs1,proficio,tex,mid,present,3.68527,1,1
obs1,proficio,tex,easy,present,0.71813,1,1
obs1,proficio,tex,mid,absent,8.963654999,1,0
obs1,proficio,tex,easy,absent,6.28812,1,0
obs1,proficio,tex,easy,absent,6.347095,1,0
obs1,proficio,tex,mid,present,2.082925001,1,1
obs1,proficio,tex,mid,present,0.898779999,1,1
obs1,proficio,tex,hard,present,10.137145,0,0
obs1,proficio,tex,hard,absent,8.709079999,0,1
obs1,proficio,tex,hard,present,4.993755,0,0
obs1,proficio,tex,hard,absent,7.27885,1,0
obs1,proficio,tex,hard,absent,8.697660001,1,0
obs1,proficio,tex,hard,present,2.593094999,1,1
obs1,proficio,tex,mid,absent,17.94885,0,1
obs1,proficio,tex,easy,present,0.971315,1,1
obs1,proficio,tex,easy,absent,9.820210001,1,0
obs1,proficio,tex,easy,present,1.119864998,1,1
obs1,proficio,tex,easy,present,0.843895001,1,1
obs1,proficio,tex,hard,present,5.62183,1,1
obs1,proficio,tex,easy,absent,6.097970001,1,0
obs1,proficio,tex,mid,absent,17.465115,1,0
obs1,proficio,tex,hard,present,2.626175001,1,1
obs1,proficio,tex,hard,present,9.482785,1,1
obs1,proficio,tex,hard,absent,12.79104,1,0
obs1,proficio,tex,hard,present,2.772299999,1,1
obs1,proficio,tex,easy,absent,23.9869,1,0
obs1,proficio,tex,mid,absent,11.006825,1,0
obs1,proficio,tex,mid,absent,14.856195,1,0
obs1,proficio,tex,mid,present,1.5363,1,1
obs1,proficio,tex,hard,absent,12.404015,1,0
obs1,proficio,tex,hard,absent,10.26789,1,0
obs1,proficio,tex,mid,absent,9.245615,1,0
obs1,proficio,tex,hard,absent,13.56475,1,0
obs1,proficio,tex,mid,absent,10.903515,1,0
obs1,proficio,tex,mid,present,1.168395,1,1
obs1,proficio,tex,easy,absent,9.459100001,1,0
obs1,proficio,tex,hard,present,1.433145,1,1
obs1,proficio,tex,easy,present,1.240805,1,1
obs1,proficio,tex,easy,present,2.008435,1,1
obs1,proficio,tex,mid,absent,15.24897,1,0
obs1,proficio,tex,mid,absent,5.340679999,1,0
obs1,proficio,tex,easy,present,0.81134,1,1
obs1,proficio,tex,hard,present,2.525810001,1,1
obs1,proficio,tex,easy,present,1.106040001,1,1
obs1,proficio,tex,mid,absent,9.922324998,1,0
obs1,proficio,tex,hard,absent,6.721335001,1,0
