obs,type,targ,nD,rt,accuracy,response
20,redHorizontal,absent,15,0.578,0,1
20,redHorizontal,present,15,1.331,0,0
20,redHorizontal,absent,15,0.633,1,0
20,redHorizontal,absent,15,0.63,1,0
20,redHorizontal,present,15,0.465,0,0
20,redHorizontal,absent,15,0.811,1,0
20,redHorizontal,present,15,0.648,1,1
20,redHorizontal,absent,15,0.982,1,0
20,redHorizontal,absent,15,0.914,1,0
20,redHorizontal,absent,15,0.734,1,0
20,redHorizontal,present,15,0.53,1,1
20,redHorizontal,present,15,0.715,1,1
20,redHorizontal,absent,15,0.759,1,0
20,redHorizontal,present,15,0.708,1,1
20,redHorizontal,present,15,0.549,1,1
20,redHorizontal,present,15,0.664,0,0
20,redHorizontal,absent,15,0.694,1,0
20,redHorizontal,present,15,0.898,1,1
20,redHorizontal,absent,15,0.895,1,0
20,redHorizontal,absent,15,0.73,1,0
20,redHorizontal,present,15,0.626,1,1
20,redHorizontal,absent,15,0.695,1,0
20,redHorizontal,present,15,0.581,1,1
20,redHorizontal,present,15,0.496,0,0
20,redHorizontal,present,15,0.931,1,1
20,redHorizontal,absent,15,1.181,1,0
20,redHorizontal,absent,15,0.737,1,0
20,redHorizontal,absent,15,0.76,1,0
20,redHorizontal,absent,15,1.21,1,0
20,redHorizontal,absent,15,0.784,1,0
20,redHorizontal,absent,15,0.958,1,0
20,redHorizontal,present,15,0.512,1,1
20,redHorizontal,present,15,1.121,1,1
20,redHorizontal,present,15,0.766,1,1
20,redHorizontal,present,15,0.585,1,1
20,redHorizontal,present,15,0.982,1,1
20,redHorizontal,present,15,0.615,1,1
20,redHorizontal,present,15,0.649,1,1
20,redHorizontal,absent,15,1.045,1,0
20,redHorizontal,absent,15,0.817,1,0
20,redHorizontal,absent,15,0.762,1,0
20,redHorizontal,absent,15,1.258,1,0
20,redHorizontal,present,15,0.663,1,1
20,redHorizontal,present,15,0.692,1,1
20,redHorizontal,present,15,0.711,1,1
20,redHorizontal,absent,15,1.614,1,0
20,redHorizontal,present,15,0.727,1,1
20,redHorizontal,absent,15,0.884,1,0
20,redHorizontal,present,15,0.683,1,1
20,greenVertical,absent,15,1.315,1,0
20,greenVertical,absent,15,0.676,1,0
20,greenVertical,absent,15,1.015,1,0
20,greenVertical,present,15,0.7,0,0
20,greenVertical,absent,15,0.708,1,0
20,greenVertical,absent,15,0.827,1,0
20,greenVertical,present,15,0.708,1,1
20,greenVertical,present,15,0.875,1,1
20,greenVertical,absent,15,0.713,1,0
20,greenVertical,absent,15,0.75,1,0
20,greenVertical,present,15,1.086,1,1
20,greenVertical,absent,15,0.614,1,0
20,greenVertical,present,15,0.813,0,0
20,greenVertical,present,15,0.866,1,1
20,greenVertical,present,15,0.681,1,1
20,greenVertical,present,15,1.166,1,1
20,greenVertical,present,15,0.562,1,1
20,greenVertical,present,15,0.618,1,1
20,greenVertical,present,15,1.109,1,1
20,greenVertical,absent,15,0.892,1,0
20,greenVertical,present,15,0.799,1,1
20,greenVertical,absent,15,0.734,1,0
20,greenVertical,present,15,0.662,0,0
20,greenVertical,present,15,0.78,1,1
20,greenVertical,present,15,0.927,0,0
20,greenVertical,present,15,1.16,1,1
20,greenVertical,absent,15,0.948,1,0
20,greenVertical,present,15,0.684,1,1
20,greenVertical,absent,15,0.578,1,0
20,greenVertical,absent,15,0.595,1,0
20,greenVertical,absent,15,0.68,1,0
