key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,6.147,space,32.939,space,34.95,space,45.056,space,69.864,space,58.369,space,8.815,p,1,1.51,space,6.11,0,0,0,76,1,15_dist_green/trial2.png,,,1,15,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.584,space,1.284,0,1,1,84,1,15_dist_green/trial10.png,,,1,15,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.586,space,0.824,0,2,2,96,1,15_dist_green/trial22.png,,,1,15,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.619,space,2.191,0,3,3,70,1,9_dist_green/trial21.png,,,1,9,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.685,space,1.036,0,4,4,39,1,3_dist_green/trial15.png,,,1,3,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.635,space,1.556,0,5,5,47,1,3_dist_green/trial23.png,,,1,3,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.585,space,0.603,0,6,6,57,1,9_dist_green/trial8.png,,,1,9,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.437,space,0.44,0,7,7,16,1,0_dist_green/trial17.png,,,1,0,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.503,space,3.22,0,8,8,176,1,0_targ_16_dist_green/trial2.png,,,0,16,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.904,space,0.548,0,9,9,93,1,15_dist_green/trial19.png,,,1,15,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.653,space,1.287,0,10,10,187,1,0_targ_16_dist_green/trial13.png,,,0,16,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.17,space,1.944,0,11,11,11,1,0_dist_green/trial12.png,,,1,0,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.787,space,0.857,0,12,12,115,1,0_targ_1_dist_green/trial6.png,,,0,1,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.986,space,0.291,0,13,13,132,1,0_targ_4_dist_green/trial8.png,,,0,4,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.651,space,0.125,0,14,14,136,1,0_targ_4_dist_green/trial12.png,,,0,4,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.969,space,1.307,0,15,15,108,1,0_targ_1_dist_green/trial9.png,,,0,1,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,3.819,space,1.014,0,16,16,37,1,3_dist_green/trial13.png,,,1,3,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.935,space,0.705,0,17,17,179,1,0_targ_16_dist_green/trial5.png,,,0,16,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.653,space,0.62,0,18,18,64,1,9_dist_green/trial15.png,,,1,9,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.137,space,0.68,0,19,19,178,1,0_targ_16_dist_green/trial4.png,,,0,16,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.82,space,0.42,0,20,20,153,1,0_targ_10_dist_green/trial4.png,,,0,10,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.837,space,0.456,0,21,21,156,1,0_targ_10_dist_green/trial7.png,,,0,10,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.803,space,0.304,0,22,22,198,1,0_targ_16_dist_green/trial24.png,,,0,16,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.867,space,0.906,0,23,23,35,1,3_dist_green/trial11.png,,,1,3,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,4.803,space,5.356,0,24,24,124,1,0_targ_1_dist_green/trial25.png,,,0,1,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.903,space,22.223,0,25,25,49,1,3_dist_green/trial25.png,,,1,3,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.132,space,1.02,0,26,26,170,1,0_targ_10_dist_green/trial21.png,,,0,10,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.903,space,0.386,0,27,27,159,1,0_targ_10_dist_green/trial10.png,,,0,10,greenverival,a,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.785,space,1.019,0,28,28,61,1,9_dist_green/trial12.png,,,1,9,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.185,space,0.702,0,29,29,89,1,15_dist_green/trial15.png,,,1,15,greenverival,p,26,26,female,2021-02-19_15h28.13.954,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
