key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,6.034495,space,10.72142,space,3.49886,space,15.52701,space,5.09341,space,26.159155,space,4.14466,a,1,1.749005,space,3.662985,0,0,0,150,1,0_targ_10_dist_red/trial1.png,,,0,10,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.504525,space,1.0212,0,1,1,192,1,0_targ_16_dist_red/trial18.png,,,0,16,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.715095,space,0.430215,0,2,2,102,1,0_targ_1_dist_red/trial3.png,,,0,1,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.84953,space,0.465205,0,3,3,23,1,0_dist_red/trial24.png,,,1,0,redHorizontal,p,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.93328,space,0.450275,0,4,4,199,1,0_targ_16_dist_red/trial25.png,,,0,16,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.822245,space,0.45392,0,5,5,191,1,0_targ_16_dist_red/trial17.png,,,0,16,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.679675,space,0.836955,0,6,6,58,1,9_dist_red/trial9.png,,,1,9,redHorizontal,p,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.20854,space,0.42655,0,7,7,85,1,15_dist_red/trial11.png,,,1,15,redHorizontal,p,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.804835,space,0.40919,0,8,8,109,1,0_targ_1_dist_red/trial10.png,,,0,1,redHorizontal,a,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.657745,space,0.35464,0,9,9,37,1,3_dist_red/trial13.png,,,1,3,redHorizontal,p,49 ,24,Male,2021-03-02_12h56.19.296,exp11,2020.2.6,Win32,60,,,,,,,,,,,
