key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,2.74702,space,2.445245,space,1.55556,space,21.95036,space,5.61095,space,34.537345,space,6.39356,a,1,1.893875,space,4.32398,0,0,0,151,1,0_targ_10_dist_red/trial2.png,,,0,10,redHorizontal,a,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.81432,space,1.0206,0,1,1,12,1,0_dist_red/trial13.png,,,1,0,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.85152,space,0.54188,0,2,2,134,1,0_targ_4_dist_red/trial10.png,,,0,4,redHorizontal,a,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.00997,space,0.668135,0,3,3,54,1,9_dist_red/trial5.png,,,1,9,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.149965,space,0.65169,0,4,4,77,1,15_dist_red/trial3.png,,,1,15,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.793425,space,0.482875,0,5,5,127,1,0_targ_4_dist_red/trial3.png,,,0,4,redHorizontal,a,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.21074,space,0.548985,0,6,6,120,1,0_targ_1_dist_red/trial21.png,,,0,1,redHorizontal,a,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,2.079095,space,0.464915,0,7,7,87,1,15_dist_red/trial13.png,,,1,15,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.83614,space,0.683845,0,8,8,10,1,0_dist_red/trial11.png,,,1,0,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.70225,space,0.553255,0,9,9,26,1,3_dist_red/trial2.png,,,1,3,redHorizontal,p,54,21,female,2021-02-17_16h57.09.628,exp11,2020.2.6,Win32,60,IwAR0EYiExLoNyz0Chnc-27F3elrmreO99-FQdgmw-aBQB0uyjA8bh53CpzJs,,,,,,,,,,,
