"rt","accuracy","targetType","numDist","observer","targetPres","age","sex","n"
0.721,0,"redHorizontal","3","20","0","26","Male",0
0.664,1,"redHorizontal","0","20","1","26","Male",1
0.98,1,"redHorizontal","9","20","1","26","Male",2
0.578,0,"redHorizontal","15","20","0","26","Male",3
1.331,0,"redHorizontal","15","20","1","26","Male",4
0.973,1,"redHorizontal","9","20","0","26","Male",5
0.709,1,"redHorizontal","0","20","1","26","Male",6
0.483,0,"redHorizontal","3","20","1","26","Male",7
0.582,1,"redHorizontal","0","20","1","26","Male",8
0.708,1,"redHorizontal","9","20","0","26","Male",9
0.633,1,"redHorizontal","15","20","0","26","Male",10
0.694,1,"redHorizontal","3","20","1","26","Male",11
0.682,1,"redHorizontal","9","20","1","26","Male",12
0.525,1,"redHorizontal","3","20","0","26","Male",13
0.63,1,"redHorizontal","15","20","0","26","Male",14
0.632,1,"redHorizontal","3","20","0","26","Male",15
0.561,1,"redHorizontal","0","20","1","26","Male",16
0.747,1,"redHorizontal","3","20","1","26","Male",17
0.582,1,"redHorizontal","9","20","0","26","Male",18
0.634,1,"redHorizontal","9","20","0","26","Male",19
0.498,1,"redHorizontal","3","20","0","26","Male",20
0.565,1,"redHorizontal","9","20","0","26","Male",21
0.393,1,"redHorizontal","15","20","0","26","Male",22
0.594,1,"redHorizontal","0","20","0","26","Male",23
0.519,1,"redHorizontal","3","20","0","26","Male",24
0.432,1,"redHorizontal","0","20","1","26","Male",25
0.465,0,"redHorizontal","15","20","1","26","Male",26
0.577,1,"redHorizontal","9","20","0","26","Male",27
0.532,1,"redHorizontal","9","20","0","26","Male",28
0.433,0,"redHorizontal","3","20","1","26","Male",29
0.811,1,"redHorizontal","15","20","0","26","Male",30
0.582,1,"redHorizontal","0","20","0","26","Male",31
0.449,1,"redHorizontal","0","20","1","26","Male",32
0.512,1,"redHorizontal","3","20","1","26","Male",33
0.609,1,"redHorizontal","3","20","1","26","Male",34
0.495,1,"redHorizontal","0","20","1","26","Male",35
0.579,0,"redHorizontal","3","20","1","26","Male",36
