observer	age	sex	greenVertical_0_0	greenVertical_0_3	greenVertical_0_9	greenVertical_0_15	greenVertical_1_0	greenVertical_1_3	greenVertical_1_9	greenVertical_1_15	redHorizontal_0_0	redHorizontal_0_3	redHorizontal_0_9	redHorizontal_0_15	redHorizontal_1_0	redHorizontal_1_3	redHorizontal_1_9	redHorizontal_1_15
20	26	M	0.96	0.92	1	1	0.96	0.84	1	0.8	0.92	0.92	1	0.96	1	0.8	0.84	0.84
21	20	M	0.96	1	1	1	1	0.96	1	0.96	0.96	0.96	1	1	0.96	0.92	0.96	0.88
22	25	M	0.92	0.96	0.96	1	1	1	1	1	0.96	1	1	0.96	0.96	0.96	0.92	0.96
23	26	F	1	1	1	1	1	1	0.92	0.88	0.92	0.96	1	0.96	0.92	1	0.92	0.92
24	25	M	0.92	1	1	1	1	1	0.96	0.96	0.96	1	1	1	1	1	0.96	0.88
25	26	F	0.84	0.92	0.96	0.92	1	0.96	1	0.88	0.4	0.56	0.44	0.48	0.6	0.6	0.36	0.6
26	26	F	0.92	0.92	1	0.92	1	1	0.96	1	0.96	1	1	1	0.96	0.92	1	1
27	30	NA	0.96	0.88	0.96	0.96	1	1	1	1	0.96	0.96	1	0.96	0.92	0.96	0.84	0.8
28	27	F	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96	0.88	0.88
30	20	M	1	1	1	1	1	1	0.96	1	1	1	1	1	1	0.96	0.92	1
31	21	F	1	1	1	1	0.88	1	0.96	0.92	1	0.96	1	1	0.96	0.96	0.88	0.88
32	20	M	1	0.96	1	0.96	0.92	0.92	0.96	0.88	0.96	1	1	1	1	1	0.92	0.96
33	20	F	1	1	1	0.96	1	1	0.92	0.88	0.96	0.96	1	1	1	0.92	1	0.84
35	21	F	1	1	1	1	1	1	1	1	0.96	1	0.96	0.96	0.92	0.92	1	1
36	20	F	0.88	1	1	1	0.96	1	0.92	0.88	1	0.96	0.92	1	0.96	0.96	0.92	0.88
37	20	F	0.96	1	0.96	0.96	1	0.96	1	1	1	1	1	1	1	0.96	0.92	0.96
38	18	F	1	0.96	1	1	1	1	1	0.88	0.96	1	0.96	1	0.96	1	0.96	0.92
39	20	F	0.96	1	1	1	1	0.96	0.92	0.96	0.96	0.96	0.96	1	0.96	0.92	0.92	1
40	23	F	1	1	1	1	1	1	0.96	0.96	1	1	1	1	0.96	0.96	0.92	0.92
41	58	M	0.92	1	0.96	0.96	1	0.96	1	0.92	0.92	0.96	1	0.96	1	0.88	0.92	0.8
42	53	F	0.88	1	1	1	1	1	1	0.92	0.96	1	1	1	0.96	0.96	0.96	0.96
43	27	M	1	0.96	0.96	1	1	1	0.96	0.96	0.96	1	1	1	1	0.92	0.92	0.96
44	26	M	1	1	1	0.96	1	1	1	0.88	1	1	0.96	1	1	0.96	0.96	1
49	24	M	1	0.96	1	1	0.96	0.88	0.92	0.88	0.96	0.96	1	1	0.96	0.88	0.88	0.92
50	65	M	1	1	1	1	1	1	1	1	0.96	1	0.96	1	1	1	0.92	1
51	21	F	0.92	1	0.96	1	1	0.96	1	0.96	0.96	0.96	0.96	0.96	1	1	0.88	0.96
52	20	F	0.96	1	0.88	0.96	1	1	0.92	0.96	0.92	0.92	1	0.96	0.92	0.96	0.96	0.84
53	20	NA	0.88	1	0.92	0.92	0.92	0.96	0.92	1	0.96	0.96	1	1	1	1	1	0.96
54	21	F	1	1	1	1	0.92	1	0.96	1	0.96	1	1	1	1	0.96	1	0.96
55	31	M	1	0.96	1	1	0.92	1	0.88	0.8	0.88	0.92	1	0.84	0.88	0.92	0.96	0.88
56	33	M	0.48	0	0	0	1	1	1	1	0.52	0	0	0	1	1	1	1
57	23	F	1	0.96	0.88	0.96	1	0.96	0.96	0.92	1	1	1	1	1	1	0.92	0.88
58	24	M	0.92	1	1	1	0.96	0.96	0.92	0.72	1	1	1	0.96	0.96	0.92	0.84	0.92
59	52	F	0.96	1	1	1	0.96	0.96	0.92	0.84	0.92	1	1	0.96	0.96	0.96	1	0.92
60	23	M	0.96	1	0.92	0.96	1	0.96	0.96	1	1	0.92	0.92	1	1	1	0.96	0.88
61	19	M	0.96	1	1	1	1	1	1	0.96	1	0.96	1	1	0.96	1	0.92	1
62	19	NA	1	0.92	0.92	1	1	1	0.96	0.96	0.96	1	1	1	1	0.96	0.92	0.88
