"observer","greenVertical_0_0","redHorizontal_0_0","greenVertical_3_0","redHorizontal_3_0","greenVertical_9_0","redHorizontal_9_0","greenVertical_15_0","redHorizontal_15_0","greenVertical_0_1","redHorizontal_0_1","greenVertical_3_1","redHorizontal_3_1","greenVertical_9_1","redHorizontal_9_1","greenVertical_15_1","redHorizontal_15_1"
"20",0.5565,0.586,0.598,0.633,0.704,0.668,0.746,0.7975,0.579,0.546,0.642,0.597,0.647,0.744,0.8325,0.683
"21",0.73644,0.68827,0.819735,0.732775,0.801745,0.859255,1.06579,0.98213,0.60757,0.571595,0.6547925,0.62742,0.67464,0.7025625,0.7067525,0.72609
"22",0.818,0.6595,0.92,0.736,0.9855,0.786,1.069,0.744,0.753,0.5435,0.885,0.661,0.937,0.752,0.985,0.802
"23",0.60263,0.644745,0.66556,0.69107,0.81799,0.77743,0.88564,0.77564,0.48155,0.54884,0.542385,0.566195,0.607755,0.696695,0.6917925,0.70578
"24",0.772915,0.803225,0.7712,0.87414,0.834405,0.94084,0.910875,1.04332,0.6097,0.710765,0.74301,0.813465,0.77403,0.8997875,0.8221575,1.022425
"26",0.7365,0.768,0.703,0.72,0.753,0.77,0.787,0.854,0.552,0.587,0.636,0.67,0.6455,0.686,0.686,0.77
"27",0.7173975,0.6376,0.7664275,0.70915,0.890765,0.619665,0.88818,0.73369,0.59377,0.56944,0.71931,0.6996475,0.8514725,0.62731,0.81061,0.82587
"28",0.709,0.684005,0.638315,0.677625,0.698355,0.75427,0.74617,0.849405,0.59965,0.59497,0.630465,0.6556675,0.635145,0.6118075,0.70622,0.7157325
"30",0.76582,1.006445,0.81337,1.156905,0.929865,1.64685,1.09713,1.6312675,0.743055,0.887395,0.821395,1.085595,0.91167,1.210445,1.007185,1.280015
"31",0.638025,0.61306,0.661135,0.72658,0.8645,0.82229,1.168265,0.909705,0.49078,0.49793,0.60531,0.6284325,0.695055,0.7350725,0.68765,0.6620975
"32",0.762845,0.7831925,0.9107025,0.766115,0.888195,0.928155,1.1164225,0.99852,0.62206,0.566355,0.7922875,0.688285,0.76823,0.728105,0.9011625,0.7434325
"33",0.7462,0.697845,0.724505,0.6731625,0.67311,0.766095,0.8013975,0.81707,0.57881,0.64772,0.637035,0.665455,0.67058,0.73035,0.6982275,0.727305
"34",0.6039675,0.6141175,0.5925125,0.6712475,0.65607,0.655655,0.7126775,0.799755,0.532915,0.5293225,0.63003,0.585595,0.70005,0.5996725,0.6746425,0.6410825
"35",0.668260001,0.7127025,0.668055,0.66664,0.84938,0.8574725,0.970905,0.8030375,0.60033,0.589075,0.69368,0.686125,0.81815,0.72389,0.819715001,0.814825
"36",0.671,0.717,0.732,0.7235,0.786,0.798,0.867,0.855,0.671,0.62,0.736,0.7435,0.737,0.789,0.861,0.841
"37",0.99087,0.73053,1.065005,0.77013,1.1527875,0.847255,1.2118325,0.8734975,0.72638,0.66943,0.876315,0.7360425,0.91514,0.761965,1.0073325,0.838175
"38",0.554685,0.73717,0.6288875,0.68423,0.670545,0.8173475,0.73465,0.845955,0.565755,0.6316075,0.57899,0.738235,0.620145,0.68285,0.6339625,0.783185
"39",0.6682025,0.572665,0.593445,0.574955,0.76604,0.598665,0.82034,0.651785,0.526095,0.5438925,0.578755,0.56611,0.62679,0.53446,0.7214475,0.638385
"40",0.59706,0.579435,0.59616,0.60125,0.61443,0.605115,0.7169,0.652255,0.53875,0.5585575,0.55837,0.54898,0.6232175,0.67674,0.6167925,0.732205
"41",0.9215,0.896,0.835,0.8155,1.061,0.989,1.1645,1.203,0.761,0.877,0.7755,0.76,0.897,0.995,0.955,0.939
"42",0.8595,1.016,0.837,0.72,1.026,0.869,1.185,1.3995,0.673,0.6615,0.809,0.85,0.96,0.981,0.904,0.89
"43",0.75615,0.92444,0.80097,0.974075,0.80793,1.20909,0.884555,1.5700375,0.618595,0.780365,0.67451,0.890725,0.7358825,1.14784,0.7997375,1.2640375
"44",0.60904,0.678115,0.65473,0.658685,0.645295,0.7471575,0.8912875,0.82971,0.53002,0.61488,0.5907,0.669995,0.64655,0.6978725,0.7679575,0.746755
"49",0.824285,0.8085775,0.772585,0.710805,0.72462,0.811415,0.87654,0.839365,0.68876,0.746315,0.672425,0.70234,0.707245,0.89781,0.7632825,0.84304
"50",1.081,1.0015,1.007,1.01,1.011,1.055,1.125,1.23,0.595,0.629,0.727,0.743,0.692,0.717,0.767,0.8
