key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
space,12.322435,space,402.609035,space,35.62837,space,94.835775,space,13.86398,space,17.635705,space,15.655435,space,14.876135,a,0,2.7064,space,9.388755,0,0,0,1,1,tex_easy_TP/1.7_r=150_phi=315_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.23127,space,7.49044,0,1,1,6,1,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.312825,space,5.67574,0,2,2,4,1,tex_mid_TP/1.65_r=100_phi=225_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.39644,space,3.318355,0,3,3,3,1,tex_hard_TP/1.6_r=100_phi=270_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,2.36616,space,2.605295,0,4,4,2,1,tex_hard_TP/1.6_r=100_phi=0_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.275065,space,1.68067,0,5,5,5,1,tex_mid_TP/1.65_r=100_phi=270_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.335425,space,1.635825,0,6,6,7,1,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.056305,space,0.882655,0,7,7,8,1,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.961535,space,1.238565,0,8,8,11,1,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.997165,space,0.601125,0,9,9,0,1,tex_easy_TP/1.7_r=150_phi=225_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.91047,space,1.05891,0,10,10,10,1,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.16887,space,1.482285,0,11,11,9,1,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.2588,,,,,,,,tex_easy_TP/1.7_r=350_phi=225_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,space,3.38887,space,0.2168,0,0,0,25,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.679215,,,,,,,,tex_easy_TP/1.7_r=200_phi=225_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.224805,0,1,1,14,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.6429,,,,,,,,tex_hard_TP/1.6_r=200_phi=225_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.138945,0,2,2,39,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.09875,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.1203,0,3,3,102,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.937525,,,,,,,,tex_easy_TP/1.7_r=450_phi=135_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.15182,0,4,4,32,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.219535,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.459955,0,5,5,101,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,1.192425,,,,,,,,tex_hard_TP/1.6_r=450_phi=135_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.269625,0,6,6,52,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.693705,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.41513,0,7,7,103,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.26773,,,,,,,,tex_mid_TP/1.65_r=300_phi=90_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.564405,0,8,8,69,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,2.2289,,,,,,,,tex_hard_TP/1.6_r=250_phi=315_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.470225,0,9,9,43,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.69149,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.052355,0,10,10,138,1,,,,,,,,,,,,,,,,,
