key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,7.028,space,28.713,space,18.79,space,40.82,space,4.758,space,22.431,space,7.957,p,1,1.336,space,4.148,0,0,0,60,1,9_dist_green/trial11.png,,,1,9,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.886,space,6.158,0,1,1,128,1,0_targ_4_dist_green/trial4.png,,,0,4,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.885,space,7.908,0,2,2,115,1,0_targ_1_dist_green/trial6.png,,,0,1,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,6.668,space,1.548,0,3,3,136,1,0_targ_4_dist_green/trial12.png,,,0,4,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.019,space,3.557,0,4,4,6,1,0_dist_green/trial7.png,,,1,0,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.886,space,1.135,0,5,5,157,1,0_targ_10_dist_green/trial8.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.385,space,0.507,0,6,6,178,1,0_targ_16_dist_green/trial4.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.102,space,0.307,0,7,7,137,1,0_targ_4_dist_green/trial13.png,,,0,4,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.886,space,0.257,0,8,8,102,1,0_targ_1_dist_green/trial3.png,,,0,1,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.985,space,0.257,0,9,9,169,1,0_targ_10_dist_green/trial20.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.169,space,0.237,0,10,10,177,1,0_targ_16_dist_green/trial3.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.769,space,0.307,0,11,11,103,1,0_targ_1_dist_green/trial4.png,,,0,1,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.519,space,0.474,0,12,12,57,1,9_dist_green/trial8.png,,,1,9,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.069,space,0.323,0,13,13,25,1,3_dist_green/trial1.png,,,1,3,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.153,space,0.269,0,14,14,71,1,9_dist_green/trial22.png,,,1,9,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.935,space,0.308,0,15,15,37,1,3_dist_green/trial13.png,,,1,3,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.985,space,0.274,0,16,16,139,1,0_targ_4_dist_green/trial15.png,,,0,4,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.018,space,0.241,0,17,17,98,1,15_dist_green/trial24.png,,,1,15,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.086,space,0.258,0,18,18,51,1,9_dist_green/trial2.png,,,1,9,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.336,space,0.285,0,19,19,197,1,0_targ_16_dist_green/trial23.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.051,space,0.24,0,20,20,43,1,3_dist_green/trial19.png,,,1,3,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.035,space,0.29,0,21,21,94,1,15_dist_green/trial20.png,,,1,15,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.136,space,0.22,0,22,22,165,1,0_targ_10_dist_green/trial16.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.918,space,0.273,0,23,23,126,1,0_targ_4_dist_green/trial2.png,,,0,4,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.886,space,0.302,0,24,24,166,1,0_targ_10_dist_green/trial17.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.836,space,0.289,0,25,25,124,1,0_targ_1_dist_green/trial25.png,,,0,1,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.203,space,0.358,0,26,26,191,1,0_targ_16_dist_green/trial17.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.336,space,0.218,0,27,27,27,1,3_dist_green/trial3.png,,,1,3,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.803,space,0.256,0,28,28,170,1,0_targ_10_dist_green/trial21.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.002,space,0.274,0,29,29,41,1,3_dist_green/trial17.png,,,1,3,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.92,space,0.273,0,30,30,13,1,0_dist_green/trial14.png,,,1,0,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.237,space,0.485,0,31,31,182,1,0_targ_16_dist_green/trial8.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.036,space,0.924,0,32,32,174,1,0_targ_10_dist_green/trial25.png,,,0,10,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.869,space,0.299,0,33,33,1,1,0_dist_green/trial2.png,,,1,0,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.469,space,0.324,0,34,34,190,1,0_targ_16_dist_green/trial16.png,,,0,16,greenverival,a,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.169,space,0.308,0,35,35,96,1,15_dist_green/trial22.png,,,1,15,greenverival,p,22,25,M,2021-02-18_21h11.20.404,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
