key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,3.92299,space,5.154435,space,1.463815,space,0.760815,space,1.40616,space,16.966455,space,7.856995,a,1,1.498545,space,1.85563,0,0,0,102,1,0_targ_1_dist_green/trial3.png,,,0,1,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,2.22905,space,0.632645,0,1,1,158,1,0_targ_10_dist_green/trial9.png,,,0,10,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.434345,space,0.45178,0,2,2,152,1,0_targ_10_dist_green/trial3.png,,,0,10,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.78469,space,0.324905,0,3,3,101,1,0_targ_1_dist_green/trial2.png,,,0,1,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.52689,space,0.32987,0,4,4,19,1,0_dist_green/trial20.png,,,1,0,greenverival,p,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.053215,space,0.629865,0,5,5,150,1,0_targ_10_dist_green/trial1.png,,,0,10,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.33211,space,0.484905,0,6,6,193,1,0_targ_16_dist_green/trial19.png,,,0,16,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.185365,space,0.351345,0,7,7,185,1,0_targ_16_dist_green/trial11.png,,,0,16,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.031505,space,0.39799,0,8,8,154,1,0_targ_10_dist_green/trial5.png,,,0,10,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.74789,space,0.355155,0,9,9,155,1,0_targ_10_dist_green/trial6.png,,,0,10,greenverival,a,39,20,female,2021-02-21_16h21.50.229,exp11,2020.2.6,Win32,60,IwAR0ad7ImPw7teSdjRuB99MCN_LumoqcKlP9KUUMQo9Xobyu7cH986u0aFtg,,,,,,,,,,,
