key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
space,4.878,space,12.727,space,6.781,space,9.369,space,3.483,space,9.006,space,25.106,space,21.981,a,1,2.133,space,26.465,0,0,0,10,1,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.488,space,1.729,0,1,1,9,1,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.398,space,0.534,0,2,2,11,1,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.906,space,0.992,0,3,3,0,1,tex_easy_TP/1.7_r=150_phi=225_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.921,space,3.285,0,4,4,8,1,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,1.746,space,0.442,0,5,5,5,1,tex_mid_TP/1.65_r=100_phi=270_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.326,space,1.649,0,6,6,6,1,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,1.674,space,3.007,0,7,7,2,1,tex_hard_TP/1.6_r=100_phi=0_seed=1.png,1,p,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,3.572,space,1.337,0,8,8,7,1,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.046,space,1.384,0,9,9,4,1,tex_mid_TP/1.65_r=100_phi=225_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,,,,,,,,,,,,,,,,,,,,,,,,
