key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
space,25.207405,space,9.910195,space,8.31433,space,195.709335,space,8.713245,space,49.662255,space,12.40573,space,8.59855,p,0,0.911695,space,8.80727,0,0,0,6,1,0_targ_4_dist_green/trial1.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.23106,space,3.438975,0,1,1,0,1,3_dist_green/trial1.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.21619,space,0.835375,0,2,2,3,1,9_dist_green/trial2.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.01831,space,0.585865,0,3,3,4,1,15_dist_green/trial1.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.752005,space,0.65585,0,4,4,8,1,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.93409,space,0.6185,0,5,5,9,1,0_targ_10_dist_green/trial2.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.808195,space,0.46508,0,6,6,1,1,3_dist_green/trial2.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.2552,space,0.437415,0,7,7,11,1,0_targ_16_dist_green/trial2.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.942765,space,0.367425,0,8,8,5,1,15_dist_green/trial2.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.78891,space,0.31233,0,9,9,7,1,0_targ_4_dist_green/trial2.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.881455,space,0.30197,0,10,10,2,1,9_dist_green/trial1.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.94863,space,0.228625,0,11,11,10,1,0_targ_16_dist_green/trial1.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.254775,,,,,,,,0_targ_16_dist_green/trial2.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,space,3.02294,space,1.12327,0,0,0,11,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.24549,,,,,,,,3_dist_green/trial10.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.387055,0,1,1,19,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.0234,,,,,,,,0_targ_10_dist_green/trial16.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.26108,0,2,2,117,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.64597,,,,,,,,0_targ_4_dist_green/trial5.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.235175,0,3,3,83,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.81388,,,,,,,,9_dist_green/trial11.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.222775,0,4,4,43,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.11459,,,,,,,,15_dist_green/trial12.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.342155,0,5,5,67,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.09431,,,,,,,,0_targ_16_dist_green/trial16.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.352665,0,6,6,140,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.703505,,,,,,,,0_targ_4_dist_green/trial23.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.22966,0,7,7,101,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.745495,,,,,,,,15_dist_green/trial23.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.235275,0,8,8,78,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.701375,,,,,,,,9_dist_green/trial18.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.202265,0,9,9,50,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.63325,,,,,,,,0_targ_4_dist_green/trial17.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.194865,0,10,10,95,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.710515,,,,,,,,3_dist_green/trial16.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.170605,0,11,11,25,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.86837,,,,,,,,0_targ_16_dist_green/trial9.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.2146,0,12,12,133,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.74638,,,,,,,,9_dist_green/trial14.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.185695,0,13,13,46,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.73682,,,,,,,,3_dist_green/trial21.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.16897,0,14,14,30,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.736275,,,,,,,,3_dist_green/trial7.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.192975,0,15,15,16,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.66647,,,,,,,,0_targ_4_dist_green/trial1.png,,0,4,greenverival,a,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.166535,0,16,16,6,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.37903,,,,,,,,9_dist_green/trial9.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.19042,0,17,17,41,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.811555,,,,,,,,0_targ_10_dist_green/trial6.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.160195,0,18,18,107,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.72518,,,,,,,,0_targ_16_dist_green/trial14.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.16219,0,19,19,138,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.8459,,,,,,,,0_targ_16_dist_green/trial7.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.15313,0,20,20,131,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.68475,,,,,,,,3_dist_green/trial18.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.12879,0,21,21,27,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.003415,,,,,,,,0_targ_16_dist_green/trial19.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.17012,0,22,22,143,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.69253,,,,,,,,15_dist_green/trial14.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.14655,0,23,23,69,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.78924,,,,,,,,0_targ_16_dist_green/trial20.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.16614,0,24,24,144,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.77018,,,,,,,,0_targ_10_dist_green/trial19.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.171325,0,25,25,120,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.842415,,,,,,,,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.17034,0,26,26,8,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.74135,,,,,,,,0_targ_10_dist_green/trial5.png,,0,10,greenverival,a,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.218895,0,27,27,106,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.75177,,,,,,,,9_dist_green/trial20.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.11893,0,28,28,52,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.756765,,,,,,,,9_dist_green/trial25.png,,1,9,greenverival,p,mid,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.11834,0,29,29,57,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.781615,,,,,,,,0_targ_16_dist_green/trial22.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.098205,0,30,30,146,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.704115,,,,,,,,15_dist_green/trial6.png,,1,15,greenverival,p,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.0922,0,31,31,61,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.68172,,,,,,,,3_dist_green/trial9.png,,1,3,greenverival,p,easy,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.06903,0,32,32,18,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.7374,,,,,,,,0_targ_16_dist_green/trial10.png,,0,16,greenverival,a,hard,5f0633361308dd16f7f4039c,26,female,2021-05-03_10h57.04.808,search_v5,2021.1.2,MacIntel,59.97720866,,,space,0.19255,0,33,33,134,1,,,,,,,,,,,,,,,
