key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
space,686.79798,space,2.497955,space,2.58541,space,2.350165,space,1.543575,space,14.9738,space,176.588315,space,4.71496,p,0,0.72812,space,1.37046,0,0,0,7,1,0_targ_4_dist_green/trial2.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.857495,space,22.744155,0,1,1,6,1,0_targ_4_dist_green/trial1.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.90562,space,0.41361,0,2,2,8,1,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.61377,space,0.72183,0,3,3,5,1,15_dist_green/trial2.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.72339,space,0.23727,0,4,4,11,1,0_targ_16_dist_green/trial2.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.480285,space,0.09897,0,5,5,0,1,3_dist_green/trial1.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.651785,space,0.074555,0,6,6,4,1,15_dist_green/trial1.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.592995,space,0.10586,0,7,7,10,1,0_targ_16_dist_green/trial1.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.69248,space,0.073685,0,8,8,3,1,9_dist_green/trial2.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.511965,space,0.1011,0,9,9,2,1,9_dist_green/trial1.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,,,,,,,,,,,,,,,,,,,,,,
