key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
space,4.75608,space,2.65888,space,1.31488,space,0.711705,space,2.828295,space,4.61721,space,9.758705,space,6.465835,p,1,0.976625,space,5.80008,0,0,0,1,1,3_dist_green/trial2.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.72917,space,0.540915,0,1,1,5,1,15_dist_green/trial2.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.44875,space,0.369585,0,2,2,3,1,9_dist_green/trial2.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.35358,space,0.326835,0,3,3,2,1,9_dist_green/trial1.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,0.483415,space,0.341295,0,4,4,6,1,0_targ_4_dist_green/trial1.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.564875,space,0.95517,0,5,5,7,1,0_targ_4_dist_green/trial2.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.865165,space,0.49963,0,6,6,9,1,0_targ_10_dist_green/trial2.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.831,space,0.310455,0,7,7,10,1,0_targ_16_dist_green/trial1.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.71942,space,0.484375,0,8,8,4,1,15_dist_green/trial1.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.519125,space,0.41271,0,9,9,0,1,3_dist_green/trial1.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.74942,space,0.350085,0,10,10,8,1,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.712835,space,0.371795,0,11,11,11,1,0_targ_16_dist_green/trial2.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.957875,,,,,,,,15_dist_green/trial24.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,space,4.10292,space,0.51754,0,0,0,79,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.75854,,,,,,,,3_dist_green/trial1.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.23462,0,1,1,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.66979,,,,,,,,9_dist_green/trial17.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.302,0,2,2,49,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.534915,,,,,,,,3_dist_green/trial14.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.28896,0,3,3,23,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.833915,,,,,,,,0_targ_10_dist_green/trial15.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.23583,0,4,4,116,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,0.647665,,,,,,,,3_dist_green/trial11.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.2905,0,5,5,20,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.79646,,,,,,,,0_targ_4_dist_green/trial23.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.22346,0,6,6,101,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.78608,,,,,,,,0_targ_16_dist_green/trial15.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.28408,0,7,7,139,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.51488,,,,,,,,3_dist_green/trial19.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.280795,0,8,8,28,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.62,,,,,,,,15_dist_green/trial22.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.26896,0,9,9,77,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,0.600545,,,,,,,,15_dist_green/trial1.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.244705,0,10,10,4,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.88217,,,,,,,,0_targ_10_dist_green/trial4.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.24671,0,11,11,105,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.65225,,,,,,,,3_dist_green/trial17.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.252665,0,12,12,26,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.803335,,,,,,,,0_targ_16_dist_green/trial7.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.23467,0,13,13,131,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.66663,,,,,,,,0_targ_16_dist_green/trial3.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.235375,0,14,14,127,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.65329,,,,,,,,9_dist_green/trial5.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.28525,0,15,15,37,1,,,,,,,,,,,,,,,
